               eta                    f                   f'                  f''
      5.7000000000        -0.0162701467        -0.0057220988        -0.0010155646
      5.8000000000        -0.0168474358        -0.0058236971        -0.0010164057
      5.9000000000        -0.0174348890        -0.0059253810        -0.0010172771
      6.0000000000        -0.0180325150        -0.0060271535        -0.0010181795
      6.1000000000        -0.0186403228        -0.0061290179        -0.0010191134
      6.2000000000        -0.0192583217        -0.0062309773        -0.0010200794
      6.3000000000        -0.0198865215        -0.0063330349        -0.0010210781
      6.4000000000        -0.0205249321        -0.0064351940        -0.0010221101
      6.5000000000        -0.0211735638        -0.0065374580        -0.0010231762
      6.6000000000        -0.0218324273        -0.0066398304        -0.0010242768
      6.7000000000        -0.0225015336        -0.0067423146        -0.0010254126
      6.8000000000        -0.0231808941        -0.0068449141        -0.0010265843
      6.9000000000        -0.0238705204        -0.0069476327        -0.0010277926
      7.0000000000        -0.0245704247        -0.0070504739        -0.0010290380
      7.1000000000        -0.0252806194        -0.0071534415        -0.0010303212
      7.2000000000        -0.0260011173        -0.0072565394        -0.0010316429
      7.3000000000        -0.0267319317        -0.0073597714        -0.0010330038
      7.4000000000        -0.0274730762        -0.0074631415        -0.0010344045
      7.5000000000        -0.0282245648        -0.0075666536        -0.0010358458
      7.6000000000        -0.0289864118        -0.0076703120        -0.0010373284
      7.7000000000        -0.0297586322        -0.0077741207        -0.0010388529
      7.8000000000        -0.0305412411        -0.0078780840        -0.0010404201
      7.9000000000        -0.0313342543        -0.0079822062        -0.0010420307
      8.0000000000        -0.0321376878        -0.0080864916        -0.0010436855
      8.1000000000        -0.0329515582        -0.0081909448        -0.0010453852
      8.2000000000        -0.0337758825        -0.0082955702        -0.0010471305
      8.3000000000        -0.0346106781        -0.0084003724        -0.0010489222
      8.4000000000        -0.0354559630        -0.0085053562        -0.0010507611
      8.5000000000        -0.0363117556        -0.0086105263        -0.0010526480
      8.6000000000        -0.0371780746        -0.0087158874        -0.0010545837
      8.7000000000        -0.0380549396        -0.0088214447        -0.0010565690
      8.8000000000        -0.0389423703        -0.0089272029        -0.0010586048
      8.9000000000        -0.0398403871        -0.0090331673        -0.0010606918
      9.0000000000        -0.0407490108        -0.0091393430        -0.0010628309
      9.1000000000        -0.0416682629        -0.0092457353        -0.0010650230
      9.2000000000        -0.0425981652        -0.0093523494        -0.0010672690
      9.3000000000        -0.0435387403        -0.0094591909        -0.0010695697
      9.4000000000        -0.0444900112        -0.0095662652        -0.0010719260
      9.5000000000        -0.0454520013        -0.0096735780        -0.0010743390
      9.6000000000        -0.0464247349        -0.0097811349        -0.0010768094
      9.7000000000        -0.0474082366        -0.0098889418        -0.0010793384
      9.8000000000        -0.0484025318        -0.0099970046        -0.0010819267
      9.9000000000        -0.0494076463        -0.0101053292        -0.0010845755
     10.0000000000        -0.0504236066        -0.0102139217        -0.0010872857
               eta                    f                   f'                  f''
      0.0000000000         0.0000000000         0.0000000000         0.0010000000
      0.1000000000         0.0000050000         0.0001000000         0.0009999999
      0.2000000000         0.0000200000         0.0002000000         0.0009999993
      0.3000000000         0.0000450000         0.0002999998         0.0009999978
      0.4000000000         0.0000800000         0.0003999995         0.0009999947
      0.5000000000         0.0001249999         0.0004999987         0.0009999896
      0.6000000000         0.0001799997         0.0005999973         0.0009999820
      0.7000000000         0.0002449993         0.0006999950         0.0009999714
      0.8000000000         0.0003199986         0.0007999915         0.0009999573
      0.9000000000         0.0004049975         0.0008999863         0.0009999393
      1.0000000000         0.0004999958         0.0009999792         0.0009999167
      1.1000000000         0.0006049933         0.0010999695         0.0009998891
      1.2000000000         0.0007199896         0.0011999568         0.0009998560
      1.3000000000         0.0008449845         0.0012999405         0.0009998169
      1.4000000000         0.0009799776         0.0013999200         0.0009997714
      1.5000000000         0.0011249684         0.0014998945         0.0009997188
      1.6000000000         0.0012799563         0.0015998635         0.0009996587
      1.7000000000         0.0014449408         0.0016998260         0.0009995907
      1.8000000000         0.0016199213         0.0017997813         0.0009995141
      1.9000000000         0.0018048968         0.0018997285         0.0009994286
      2.0000000000         0.0019998667         0.0019996667         0.0009993336
      2.1000000000         0.0022048299         0.0020995949         0.0009992286
      2.2000000000         0.0024197853         0.0021995121         0.0009991131
      2.3000000000         0.0026447319         0.0022994172         0.0009989866
      2.4000000000         0.0028796683         0.0023993091         0.0009988487
      2.5000000000         0.0031245932         0.0024991865         0.0009986988
      2.6000000000         0.0033795051         0.0025990484         0.0009985365
      2.7000000000         0.0036444023         0.0026988934         0.0009983612
      2.8000000000         0.0039192832         0.0027987202         0.0009981725
      2.9000000000         0.0042041457         0.0028985274         0.0009979699
      3.0000000000         0.0044989879         0.0029983137         0.0009977528
      3.1000000000         0.0048038077         0.0030980775         0.0009975208
      3.2000000000         0.0051186026         0.0031978173         0.0009972734
      3.3000000000         0.0054433703         0.0032975317         0.0009970102
      3.4000000000         0.0057781081         0.0033972188         0.0009967306
      3.5000000000         0.0061228131         0.0034968772         0.0009964341
      3.6000000000         0.0064774825         0.0035965051         0.0009961203
      3.7000000000         0.0068421131         0.0036961007         0.0009957887
